Unnamed: 0,Veh. Reg,Date,Del. No,Specifications,Tonagge,Unnamed: 6
1.0,KDB 204L,8/2/2021,22832.0,0-3,24.98,
2.0,KDC 255G,8/2/2021,22729.0,0-6,20.04,
3.0,KDC 255G,8/2/2021,22744.0,0-6,19.72,
4.0,KDC 255G,8/2/2021,22756.0,0-6,19.7,
5.0,KDC 255G,8/2/2021,22773.0,0-6,20.6,
6.0,KDC 255G,8/2/2021,22767.0,0-6,18.6,
7.0,KDC 255G,8/2/2021,22618.0,0-6,23.6,
8.0,KDC 255G,8/2/2021,22602.0,0-6,17.94,
9.0,KDC 255G,8/2/2021,22714.0,0-6,19.0,
10.0,KCE 250G,8/2/2021,22663.0,0-40,22.02,
11.0,KCE 250G,8/2/2021,22010.0,0-6,23.2,
12.0,KCE 250G,8/2/2021,22074.0,0-6,22.24,
13.0,KDB 072T,8/2/2021,22909.0,0-40,23.28,
14.0,KDB 072T,8/2/2021,22716.0,0-6,23.94,
15.0,KDB 072T,8/2/2021,22698.0,0-40,21.68,
16.0,KDB 072T,8/2/2021,22677.0,0-40,18.6,
17.0,KDB 072T,8/2/2021,22858.0,0-40,24.66,
18.0,KDB 072T,8/2/2021,22844.0,0-3,23.14,
19.0,KBN 554Y,8/2/2021,22799.0,0-6,18.0,
20.0,KBN 554Y,8/2/2021,22765.0,0-5,20.16,
21.0,KDB 204L,8/2/2021,22797.0,0-6,25.4,
22.0,KDB 204L,8/2/2021,22715.0,0-6,22.5,
23.0,KDB 204L,8/2/2021,22616.0,0-6,25.2,
1.0,KDC 255G,9/3/2021,22948.0,0-6,19.3,
2.0,KDC 255G,9/3/2021,22963.0,0-6,18.8,
3.0,KDC 255G,9/3/2021,22980.0,0-6,13.2,
4.0,KDC 255G,9/3/2021,23005.0,0-6,17.8,
5.0,KDC 255G,9/3/2021,22921.0,0-6,20.5,
6.0,KDC 255G,9/3/2021,22928.0,0-6,18.9,
7.0,KDB 072T,8/3/2021,23019.0,0-6,21.75,
8.0,KDB 072T,9/3/2021,23050.0,0-6,23.5,
9.0,KDB 072T,9/3/2021,22932.0,0-6,24.0,
