,Veh. Reg,Date,Del. No,Specifications,Tonagge
1,KDB 224N,9/10/2021,24921,5-10, 20.70 
2,KDB 224N,9/10/2021,24896,3-10, 21.20 
3,KDB 224N,9/10/2021,24947,5-10, 20.46 
4,KBR 280S,9/9/2021,24933,5-10, 19.66 
5,KBR 280S,9/9/2021,24858,0-40, 20.78 
6,KBR 280S,9/9/2021,24908,5-10, 19.02 
7,KBR 280S,9/9/2021,24885,3-10, 18.10 
8,KBR 280S,9/9/2021,24821,0-6, 21.30 
9,KBP 136Q,9/9/2021,24227,0-40, 28.38 
10,KCZ 278W,9/9/2021,24926,5-10, 17.96 
11,KCZ 278W,9/9/2021,24901,3-10, 18.84 
12,KCZ 278W,9/9/2021,24889,0-40, 21.36 
13,KCZ 278W,9/9/2021,24849,0-3, 17.68 
14,KCZ 278W,9/9/2021,24830,0-40, 22.54 
15,KDD 098W,9/9/2021,24870,0-40, 21.42 
16,KDD 098W,9/9/2021,24893,3-10, 20.08 
17,KDD 098W,9/9/2021,24922,5-10, 19.76 
18,KDD 098W,9/9/2021,24946,5-10, 20.72 
19,KDD 098W,9/9/2021,24828,0-40, 21.40 
20,KDB 062A,9/9/2021,24945,5-10, 21.10 
21,KDB 062A,9/10/2021,24920,5-10, 16.48 
22,KDB 062A,9/10/2021,24892,3-10, 16.52 
23,KDB 062A,9/9/2021,24882,0-40, 19.96 
24,KCY 318N,9/9/2021,24815,0-40, 21.76 
25,KDB 224N,9/10/2021,24961,0-6, 19.64 
26,KAT 901C,9/9/2021,24519,0-40, 21.30 
27,KAT 901C,9/8/2021,24487,0-40, 19.68 
28,KAT 901C,9/8/2021,24445,0-40, 18.48 
29,KAT 901C,9/9/2021,24398,0-3, 20.42 
30,KDB 293W,9/9/2021,24351,0-3, 19.82 
31,KDB 293W,9/9/2021,24404,10-14, 18.40 
32,KDB 293W,9/9/2021,24476,0-40, 24.36 
33,KDB 293W,9/9/2021,24381,0-3, 19.40 
34,KDB 293W,9/9/2021,24437,0-40, 22.76 
35,KDB 293W,9/9/2021,24512,0-40, 19.50 
36,KDB 293W,9/9/2021,24807,0-40, 21.90 
37,KBR 280S,9/9/2021,24789,0-6, 21.56 
38,KBR 280S,9/9/2021,24728,0-6, 22.26 
39,KBR 280S,9/9/2021,24750,0-6, 20.32 
40,KBR 280S,9/9/2021,24641,0-6, 21.00 
41,KDD 098W,9/9/2021,24755,0-40, 18.04 
42,KDD 098W,9/9/2021,24795,0-40, 15.62 
43,KDB 293W,9/9/2021,24770,0-40, 24.20 
44,KDB 293W,9/9/2021,24691,10-14, 20.24 
45,KDB 293W,9/9/2021,24647,0-3, 23.14 
46,KDB 293W,9/9/2021,24738,10-14, 20.84 
47,KCY 318N,9/9/2021,24757,0-40, 24.08 
48,KCY 318N,9/9/2021,24705,10-14, 16.54 
49,KCY 318N,9/9/2021,24888,0-3, 19.92 
50,KAT 901C,9/9/2021,24774,0-40, 20.46 
51,KAT 901C,9/9/2021,24736,0-40, 23.24 
52,KAT 901C,9/9/2021,24688,10-14, 18.04 
53,KAT 901C,9/9/2021,24858,0-3, 20.70 
54,KDD 098W,9/9/2021,24855,0-3, 18.00 
55,KDD 098W,9/9/2021,24700,10-14, 18.30 
56,KDC 106S,9/9/2021,24818,0-40, 24.50 
57,KDC 106S,9/9/2021,24594,0-40, 23.20 
58,KDC 106S,9/9/2021,24658,0-3, 23.58 
59,KDC 106S,9/9/2021,24894,10-14, 21.20 
60,KDC 106S,9/9/2021,24748,0-40, 21.52 
61,KDC 106S,9/9/2021,24782,0-40, 26.20 
62,KDC 106S,9/9/2021,24581,0-40, 19.10 
63,KAT 901C,9/9/2021,24808,0-40, 21.70 
64,KDC 143M,9/9/2021,24801,0-40, 20.18 
65,KDC 143M,9/9/2021,24853,0-3, 19.52 
66,KDC 143M,9/9/2021,24689,10-14, 15.52 
67,KDC 143M,9/9/2021,24742,0-40, 22.24 
