,Veh. Reg,Date,Del. No,Specifications,Tonagge,
1,KDB 072T,8/30/2021,22066,3-10, 20.92 ,
2,KDC 255G,8/30/2021,22036,0-6, 21.76 ,
3,KDB 204L,8/30/2021,22110,3-10, 21.16 ,
4,KDB 204L,8/31/2021,22169,3-10, 21.50 ,
5,KDB 204L,8/31/2021,21149,3-10, 21.80 ,
6,KDB 204L,8/30/2021,22088,3-10, 22.82 ,
7,KDB 204L,8/31/2021,22129,3-10, 21.46 ,
8,KDB 204L,8/30/2021,22046,0-6, 25.52 ,
9,KDB 204L,8/30/2021,22030,0-6, 25.30 ,
10,KDB 204L,8/30/2021,22007,0-6, 25.62 ,
11,KDB 204L,8/30/2021,21985,0-6, 26.90 ,
12,KDB 072T,8/30/2021,22043,0-6, 24.20 ,
13,KDB 072T,8/30/2021,21955,0-6, 25.80 ,
14,KDB 072T,8/30/2021,21996,0-6, 23.10 ,
15,KDB 072T,8/30/2021,22017,0-6, 23.60 ,
16,KDB 204L,8/30/2021,21913,3-10, 22.50 ,
17,KDB 204L,8/30/2021,21895,3-10, 24.66 ,
18,KDB 204L,8/29/2021,21870,14-10, 21.96 ,
19,KDB 204L,8/29/2021,21846,10-14, 21.52 ,
